Time (s), Voltage (V)
-2.016249999999999987e-02,2.923883151147195492e-02
-2.015000000000000124e-02,2.923235664680910381e-02
-2.013749999999999915e-02,2.922523174703786641e-02
-2.012500000000000053e-02,2.921966174998244514e-02
-2.011249999999999843e-02,2.921279463860959949e-02
-2.009999999999999981e-02,2.920670637386973967e-02
-2.008750000000000119e-02,2.920045852680638182e-02
-2.007499999999999910e-02,2.919535632064090488e-02
-2.006250000000000047e-02,2.919040010872217192e-02
-2.004999999999999838e-02,2.918560743391639817e-02
-2.003749999999999976e-02,2.917858495322600554e-02
-2.002500000000000113e-02,2.917303692948820804e-02
-2.001249999999999904e-02,2.916835463090840241e-02
-2.000000000000000042e-02,2.916264250832352120e-02
-1.998749999999999832e-02,2.915774950508449176e-02
-1.997499999999999970e-02,2.915149831253200166e-02
-1.996250000000000108e-02,2.914579407234535458e-02
-1.994999999999999898e-02,2.913985961176867104e-02
-1.993750000000000036e-02,2.913313528505685757e-02
-1.992499999999999827e-02,2.912739955378321893e-02
-1.991249999999999964e-02,2.912353268024134995e-02
-1.990000000000000102e-02,2.911935024349306469e-02
-1.988749999999999893e-02,2.911460113479298270e-02
-1.987500000000000031e-02,2.911153198033874720e-02
-1.986250000000000168e-02,2.910662236064181022e-02
-1.984999999999999959e-02,2.910164987428878400e-02
-1.983750000000000097e-02,2.909660212235781404e-02
-1.982499999999999887e-02,2.909275590160536121e-02
-1.981250000000000025e-02,2.908780749507294122e-02
-1.980000000000000163e-02,2.908217605381719154e-02
-1.978749999999999953e-02,2.907728226007328179e-02
-1.977500000000000091e-02,2.907362270493047199e-02
-1.976249999999999882e-02,2.906966289383621990e-02
-1.975000000000000019e-02,2.906634043579640198e-02
-1.973750000000000157e-02,2.906357488731285688e-02
-1.972499999999999948e-02,2.906094784706279160e-02
-1.971250000000000085e-02,2.905782453509649782e-02
-1.969999999999999876e-02,2.905615444517373192e-02
-1.968750000000000014e-02,2.905536760062459381e-02
-1.967500000000000152e-02,2.905264742349714102e-02
-1.966249999999999942e-02,2.904948321819237830e-02
-1.965000000000000080e-02,2.904751528686890655e-02
-1.963749999999999871e-02,2.904542904029479983e-02
-1.962500000000000008e-02,2.904316908876702907e-02
-1.961250000000000146e-02,2.904055372941573981e-02
-1.959999999999999937e-02,2.903912731658644941e-02
-1.958750000000000074e-02,2.903701854628588236e-02
-1.957499999999999865e-02,2.903509698294356664e-02
-1.956250000000000003e-02,2.903367547622766678e-02
-1.955000000000000140e-02,2.903216953951336457e-02
-1.953749999999999931e-02,2.903037356451959247e-02
-1.952500000000000069e-02,2.902807368230255272e-02
-1.951249999999999860e-02,2.902542227683470658e-02
-1.949999999999999997e-02,2.902469733176233843e-02
-1.948750000000000135e-02,2.902272686810517324e-02
-1.947499999999999926e-02,2.901994209608316222e-02
-1.946250000000000063e-02,2.901760409522243650e-02
-1.944999999999999854e-02,2.901583459874460674e-02
-1.943749999999999992e-02,2.901364664431755128e-02
