Time (s), Voltage (V)
-4.277283149937000095e-02,2.065537718634584061e-02
-4.275268146280999937e-02,2.066091886792412874e-02
-4.273253142624999779e-02,2.065894767944874075e-02
-4.271238138969000314e-02,2.066031224036744829e-02
-4.269223135312000261e-02,2.066307935853546954e-02
-4.267208131656000103e-02,2.065640041450502937e-02
-4.265193127999999945e-02,2.067972769032101407e-02
-4.263178124343999786e-02,2.068090290380263443e-02
-4.261163120688000322e-02,2.067077467439766905e-02
-4.259148117031000269e-02,2.067096442954501068e-02
-4.257133113375000111e-02,2.068147216924465584e-02
-4.255118109718999952e-02,2.070237370495327939e-02
-4.253103106061999900e-02,2.070514118553041377e-02
-4.251088102405999741e-02,2.070062323042384800e-02
-4.249073098750000277e-02,2.067789540872913209e-02
-4.247058095094000119e-02,2.066927348071264520e-02
-4.245043091437000066e-02,2.068546032526178552e-02
-4.243028087780999907e-02,2.068499141543370112e-02
-4.241013084124999749e-02,2.070531002967184939e-02
-4.238998080469000285e-02,2.069410302158559978e-02
-4.236983076812000232e-02,2.069959235996245844e-02
-4.234968073156000073e-02,2.069495328772978648e-02
-4.232953069499999915e-02,2.071451323246240039e-02
-4.230938065843999757e-02,2.071681090851394680e-02
-4.228923062186999704e-02,2.072844097488012183e-02
-4.226908058531000240e-02,2.073149676549825363e-02
-4.224893054875000081e-02,2.076342155881180304e-02
-4.222878051218999923e-02,2.078476307277587684e-02
-4.220863047561999870e-02,2.079552130739048196e-02
-4.218848043905999712e-02,2.082429992525271917e-02
-4.216833040250000247e-02,2.083164664431770216e-02
-4.214818036594000089e-02,2.086592917393332441e-02
-4.212803032937000036e-02,2.088078880835312831e-02
-4.210788029280999878e-02,2.090490502163089293e-02
-4.208773025624999720e-02,2.092750500577549369e-02
-4.206758021969000255e-02,2.095951319169136670e-02
-4.204743018312000202e-02,2.097938396339627670e-02
-4.202728014656000044e-02,2.098719313234687772e-02
-4.200713010999999886e-02,2.097402527124016952e-02
-4.198698007343999727e-02,2.095949280391361594e-02
-4.196683003688000263e-02,2.093259224670960053e-02
-4.194668000031000210e-02,2.092178152166486796e-02
-4.192652996375000052e-02,2.090915129900976915e-02
-4.190637992718999894e-02,2.087872544111944381e-02
-4.188622989061999841e-02,2.086981048947840825e-02
-4.186607985405999682e-02,2.085171472513493510e-02
-4.184592981750000218e-02,2.085489919137425985e-02
-4.182577978094000060e-02,2.085959984144561408e-02
-4.180562974437000007e-02,2.086581667534898391e-02
-4.178547970780999848e-02,2.084486755532361651e-02
-4.176532967124999690e-02,2.084497445015702152e-02
