Initial,Final,Wavelength (nm),Wavelength error (nm),Wavelength (nm),Matrix element (a.u.),Matrix el. error (a.u.),Matrix element (a.u.),Reference,DOI,Reference 2,DOI 2
4d3/2,13p3/2,751.203,0.0029,751.203(3),0.0599647,0.0010256,0.0600(10),,,,
4d3/2,4f5/2,1344.7242,0.0026,1344.724(3),10.509301,0.30664,10.51(31),,,,
4d3/2,5f5/2,1007.8473,0.0014,1007.847(1),4.5929227,0.021061,4.593(21),,,,
4d3/2,6f5/2,887.1281,0.0011,887.128(1),2.8006631,0.0284552,2.801(28),,,,
4d3/2,7f5/2,827.3981,0.001,827.398(1),1.9652707,0.0196527,1.965(20),,,,
4d3/2,8f5/2,792.7717,0.0009,792.7717(9),1.4947339,0.0194924,1.495(19),,,,
4d3/2,9f5/2,770.6677,0.0119,770.67(1)*,1.2046346,0.004293,1.2046(43),,,,
4d3/2,10f5/2,755.6065,0.0057,755.607(6)*,0.9943538,0.0022231,0.9944(22),,,,
4d3/2,11f5/2,744.8384,0.0056,744.838(6)*,0.8409196,0.0010762,0.8409(11),,,,
4d5/2,5p3/2,1529.3658,0.0024,1529.366(2),10.861994,0.036824,10.862(37),,,,
4d5/2,6p3/2,2253.578,0.0072,2253.578(7),6.9046844,0.3425278,6.90(34),,,,
4d5/2,7p3/2,1174.4109,0.002,1174.411(2),1.4387829,0.0219885,1.439(22),,,,
4d5/2,8p3/2,952.5091,0.0013,952.509(1),0.7325899,0.012082,0.733(12),,,,
4d5/2,9p3/2,860.9566,0.001,860.957(1),0.4751471,0.007898,0.4751(79),,,,
4d5/2,10p3/2,812.6146,0.0009,812.6146(9),0.3449973,0.0057278,0.3450(57),,,,
4d5/2,11p3/2,783.4954,0.0009,783.4954(9),0.2673437,0.0044295,0.2673(44),,,,
4d5/2,12p3/2,764.4186,0.003,764.419(3),0.2161227,0.0035686,0.2161(36),,,,
4d5/2,13p3/2,751.1778,0.0029,751.178(3),0.1799952,0.0029671,0.1800(30),,,,
4d5/2,4f5/2,1344.6436,0.0026,1344.644(3),2.8089957,0.080436,2.809(80),,,,
4d5/2,4f7/2,1344.6483,0.0026,1344.648(3),12.562446,0.359712,12.56(36),,,,
4d5/2,5f5/2,1007.802,0.0014,1007.802(1),1.2282722,0.0056389,1.2283(56),,,,
4d5/2,5f7/2,1007.8039,0.0014,1007.804(1),5.4930954,0.0252099,5.493(25),,,,
4d5/2,6f5/2,887.093,0.0011,887.093(1),0.74908,0.0073674,0.7491(74),,,,
4d5/2,6f7/2,887.0943,0.0011,887.094(1),3.3500351,0.0329364,3.350(33),,,,
4d5/2,7f5/2,827.3675,0.001,827.368(1),0.5257425,0.0052574,0.5257(53),,,,
4d5/2,7f7/2,827.3684,0.001,827.368(1),2.3512292,0.0235123,2.351(24),,,,
4d5/2,8f5/2,792.7437,0.0009,792.7437(9),0.3998278,0.0050617,0.3998(51),,,,
4d5/2,8f7/2,792.744,0.0009,792.7440(9),1.7881166,0.0226203,1.788(23),,,,
4d5/2,9f5/2,770.6412,0.0119,770.64(1)*,0.3221422,0.001074,0.3221(11),,,,
4d5/2,9f7/2,770.6418,0.0119,770.64(1)*,1.4406782,0.0047986,1.4407(48),,,,
4d5/2,10f5/2,755.5811,0.0057,755.581(6)*,0.2659087,0.0005426,0.26591(54),,,,
4d5/2,10f7/2,755.5817,0.0057,755.582(6)*,1.1891907,0.0024228,1.1892(24),,,,
4d5/2,11f5/2,744.8137,0.0056,744.814(6)*,0.2248774,0.0002496,0.22488(25),,,,
4d5/2,11f7/2,744.8137,0.0056,744.814(6)*,1.0056902,0.0011127,1.0057(11),,,,
5d3/2,5p1/2,762.103,0.0006,762.1030(6),1.3525261,0.0768426,1.353(77),,,,
5d3/2,5p3/2,776.157,0.0006,776.1570(6),0.6655096,0.034861,0.666(35),,,,
5d3/2,6p1/2,5036.6289,0.0359,5036.63(4),18.10774,0.1810774,18.11(18),,,,
5d3/2,6p3/2,5241.2412,0.0388,5241.24(4),8.1593528,0.0856281,8.159(86),,,,
5d3/2,7p1/2,4684.973,0.031,4684.97(3),10.702815,0.430039,10.70(43),,,,
5d3/2,7p3/2,4609.1998,0.03,4609.20(3),4.660909,0.1908344,4.66(19),,,,
5d3/2,8p1/2,2418.7283,0.0083,2418.728(8),2.4309874,0.0354028,2.431(35),,,,
5d3/2,8p3/2,2407.7506,0.0082,2407.751(8),1.0828531,0.014831,1.083(15),,,,
5d3/2,9p1/2,1901.7286,0.0051,1901.729(5),1.241866,0.0196722,1.242(20),,,,
5d3/2,9p3/2,1897.6578,0.0051,1897.658(5),0.5552675,0.0084225,0.5553(84),,,,
5d3/2,10p1/2,1679.7367,0.004,1679.737(4),0.8049314,0.0128753,0.805(13),,,,
5d3/2,10p3/2,1677.6767,0.004,1677.677(4),0.3603847,0.0055556,0.3604(56),,,,
5d3/2,11p1/2,1559.3292,0.0034,1559.329(3),0.5844886,0.0097022,0.5845(97),,,,
5d3/2,11p3/2,1558.1217,0.0034,1558.122(3),0.2618582,0.0040501,0.2619(41),,,,
5d3/2,12p1/2,1485.23,0.0112,1485.23(1),0.4533617,0.007668,0.4534(77),,,,
5d3/2,12p3/2,1484.4495,0.0112,1484.45(1),0.2031781,0.0031398,0.2032(31),,,,
5d3/2,13p1/2,1435.8545,0.0105,1435.85(1),0.367083,0.0062733,0.3671(63),,,,
